Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
1283,,,184,184,3,0.510195,0.520129,0.000217,4,0.000221,0,0.040805,687,0.809589
1297,,,186,186,3,0.510252,0.520312,0.000217,4,0.000223,0,0.039756,684,0.827884
1323,,,162,162,3,0.508543,0.517457,0.000167,2,0.000199,0,0.03719,485,0.715192
1335,,,202,202,2,0.511341,0.522178,0.00026,5,0.00024,0,0.040885,830,0.893358
1374,,,190,190,2,0.510653,0.520861,0.000232,6,0.000228,0,0.040045,719,0.834512
1405,,,192,192,3,0.510653,0.521007,0.000236,0,0.00023,0,0.040521,743,0.846878
1415,,,184,184,3,0.510138,0.520092,0.000213,0,0.000221,0,0.040093,675,0.817977
1460,,,219,219,3,0.512261,0.524008,0.000302,6,0.000257,0,0.040677,971,0.968739
1495,,,177,177,3,0.509738,0.519324,0.000194,4,0.000214,0,0.040704,634,0.790176
1505,,,175,175,3,0.509567,0.519067,0.000194,3,0.000212,0,0.04197,639,0.773166
1518,,,187,187,3,0.510366,0.520458,0.000221,0,0.000224,0,0.041228,717,0.829237
1552,,,192,192,3,0.510653,0.521007,0.000231,1,0.000229,0,0.041885,768,0.853653
1602,,,190,190,2,0.510653,0.520861,0.000227,2,0.000227,0,0.039989,718,0.844617
1670,,,159,159,3,0.50877,0.517384,0.000161,3,0.000196,0,0.041239,518,0.702172
1697,,,198,198,3,0.511054,0.521703,0.00025,3,0.000236,0,0.040045,781,0.872056
1717,,,199,199,2,0.511168,0.521849,0.000253,4,0.000237,0,0.040912,806,0.879983
1801,,,169,169,3,0.509168,0.518372,0.000181,0,0.000206,0,0.039307,558,0.746723
1802,,,167,167,3,0.509111,0.518189,0.000175,6,0.000204,0,0.038886,539,0.740991
1839,,,177,177,3,0.509681,0.519287,0.000196,3,0.000214,0,0.042437,661,0.785402
1900,,,187,187,3,0.510424,0.520495,0.000219,1,0.000224,0,0.040538,705,0.831953
1913,,,175,175,3,0.509624,0.519104,0.000193,0,0.000212,0,0.042562,648,0.776571
1949,,,197,197,3,0.510996,0.521593,0.000244,4,0.000234,0,0.042526,821,0.876214
2021,,,172,172,3,0.509567,0.518848,0.000186,1,0.000209,0,0.04046,595,0.763721
2035,,,183,183,3,0.510195,0.520056,0.000213,3,0.00022,0,0.038672,644,0.808056
2050,,,177,177,3,0.509795,0.51936,0.000198,4,0.000214,0,0.038585,601,0.784221
2080,,,172,172,2,0.509624,0.518884,0.000188,5,0.000209,0,0.03808,560,0.763366
2104,,,182,182,3,0.509909,0.519799,0.000209,1,0.000219,0,0.040799,672,0.806111
2138,,,194,194,3,0.510767,0.521227,0.000237,6,0.000231,0,0.039207,734,0.861983
2175,,,181,181,3,0.510024,0.519799,0.000207,4,0.000218,0,0.041682,679,0.801343
2210,,,212,212,2,0.511915,0.523276,0.000283,0,0.00025,0,0.040731,911,0.94207
2231,,,194,194,3,0.510767,0.521227,0.000239,5,0.000232,0,0.040222,753,0.856639
2253,,,188,188,3,0.510481,0.520605,0.000225,5,0.000225,0,0.040448,711,0.830093
2257,,,185,185,3,0.510252,0.520239,0.000218,4,0.000222,0,0.039894,679,0.818902
2265,,,189,189,2,0.510595,0.520751,0.000227,5,0.000226,0,0.040808,725,0.836103
2283,,,159,159,3,0.508543,0.517238,0.000158,4,0.000195,0,0.036382,457,0.70884
2383,,,182,182,3,0.510024,0.519873,0.000208,0,0.000219,0,0.041467,683,0.80788
2426,,,211,211,2,0.511858,0.523166,0.000283,5,0.000249,0,0.038998,864,0.93225
2457,,,176,176,3,0.509567,0.519141,0.000196,6,0.000213,0,0.042078,648,0.777512
2554,,,177,177,3,0.509795,0.51936,0.000197,2,0.000214,0,0.038264,596,0.78506
2574,,,182,182,3,0.509966,0.519836,0.000213,4,0.000219,0,0.039281,647,0.800069
2582,,,170,170,3,0.509339,0.518555,0.000183,5,0.000207,0,0.043996,632,0.751946
2606,,,191,191,3,0.510653,0.520934,0.000233,1,0.000228,0,0.041003,744,0.843242
2611,,,178,178,2,0.509966,0.519543,0.000201,3,0.000215,0,0.037263,587,0.788609
2622,,,166,166,3,0.508997,0.518043,0.000173,2,0.000203,0,0.040088,549,0.736121
2650,,,182,182,2,0.510195,0.519982,0.00021,6,0.000219,0,0.04086,673,0.803316
2663,,,188,188,3,0.510481,0.520605,0.00022,5,0.000225,0,0.040903,719,0.839916
2686,,,173,173,3,0.509567,0.518921,0.000185,1,0.00021,0,0.04221,628,0.774357
2702,,,182,182,3,0.510081,0.519909,0.00021,4,0.000219,0,0.037399,616,0.804754
2718,,,189,189,3,0.510424,0.520641,0.000226,5,0.000226,0,0.039514,702,0.836294
2738,,,195,195,2,0.510939,0.52141,0.00024,6,0.000232,0,0.040074,758,0.863886
2746,,,175,175,3,0.509567,0.519067,0.000194,3,0.000212,0,0.04046,616,0.774222
2760,,,194,194,3,0.51071,0.52119,0.00024,6,0.000232,0,0.038887,728,0.854359
2780,,,194,194,2,0.510882,0.5213,0.000232,6,0.000231,0,0.041184,771,0.869396
2808,,,182,182,3,0.510081,0.519909,0.00021,0,0.000219,0,0.039463,650,0.80578
2833,,,187,187,3,0.510366,0.520458,0.000218,0,0.000224,0,0.041113,715,0.832203
2873,,,200,200,3,0.510939,0.521776,0.000252,0,0.000238,0,0.041106,818,0.88689
2874,,,185,185,3,0.510252,0.520239,0.000216,5,0.000222,0,0.041539,707,0.821876
2888,,,174,174,2,0.509738,0.519104,0.000188,2,0.000211,0,0.041791,629,0.779201
2910,,,209,209,2,0.511743,0.522947,0.000274,1,0.000247,0,0.041636,905,0.928595
2920,,,181,181,3,0.509966,0.519763,0.000205,3,0.000218,0,0.041436,675,0.802848
2921,,,169,169,3,0.509111,0.518336,0.00018,1,0.000206,0,0.038532,547,0.747529
2928,,,210,210,3,0.511685,0.522983,0.000279,2,0.000248,0,0.04092,898,0.929045
2930,,,176,176,3,0.509738,0.51925,0.000198,6,0.000213,0,0.039091,602,0.777786
2960,,,179,179,3,0.509738,0.51947,0.000203,3,0.000216,0,0.038039,606,0.791186
2976,,,183,183,3,0.510138,0.520019,0.00022,2,0.000221,0,0.03711,618,0.797967
2977,,,190,190,3,0.510309,0.520641,0.000236,2,0.000228,0,0.038151,685,0.830728
2985,,,182,182,3,0.510081,0.519909,0.000214,1,0.000219,0,0.039403,649,0.799955
2996,,,182,182,3,0.510024,0.519873,0.000209,2,0.000219,0,0.041345,681,0.805635
3020,,,181,181,3,0.509738,0.519616,0.000207,0,0.000218,0,0.03892,634,0.803683
3024,,,190,190,2,0.510653,0.520861,0.000228,2,0.000227,0,0.039655,712,0.839873
3057,,,157,157,3,0.5086,0.517128,0.000155,5,0.000194,0,0.040666,498,0.69711
3061,,,175,175,3,0.50951,0.519031,0.000193,1,0.000212,0,0.040328,614,0.774701
3112,,,184,184,3,0.510081,0.520056,0.000216,0,0.000221,0,0.038489,648,0.811108
3116,,,182,182,3,0.509909,0.519799,0.00021,4,0.000219,0,0.038795,639,0.806359
3125,,,183,183,3,0.510081,0.519982,0.00021,4,0.00022,0,0.040833,680,0.812361
3129,,,180,180,3,0.509909,0.519653,0.000204,3,0.000217,0,0.041962,676,0.798416
3131,,,186,186,3,0.510195,0.520275,0.000218,6,0.000223,0,0.040918,704,0.826647
3167,,,196,196,3,0.510939,0.521483,0.000243,5,0.000233,0,0.03888,743,0.869324
3192,,,187,187,2,0.510481,0.520531,0.000218,1,0.000224,0,0.039331,684,0.835505
3194,,,197,197,3,0.510996,0.521593,0.000247,1,0.000235,0,0.038175,737,0.869871
3226,,,179,179,3,0.509909,0.51958,0.0002,2,0.000216,0,0.043123,687,0.796846
3268,,,201,201,3,0.511226,0.522032,0.000254,3,0.000239,0,0.038806,780,0.892982
3283,,,199,199,3,0.511054,0.521776,0.000252,4,0.000237,0,0.039034,769,0.880173
3294,,,184,184,3,0.510195,0.520129,0.000217,3,0.000221,0,0.040152,676,0.80914
3298,,,177,177,3,0.509738,0.519324,0.0002,0,0.000214,0,0.039034,608,0.7809
3315,,,201,201,2,0.511283,0.522069,0.000259,1,0.000239,0,0.039303,790,0.882257
3320,,,158,158,3,0.508089,0.516872,0.000157,4,0.000195,0,0.039507,490,0.698615
3323,,,191,191,3,0.510595,0.520897,0.000226,6,0.000228,0,0.039735,721,0.851505
3343,,,195,195,3,0.510824,0.521337,0.000234,0,0.000232,0,0.041396,783,0.872406
3356,,,163,163,3,0.508884,0.51775,0.000168,1,0.0002,0,0.040142,530,0.723435
3368,,,157,157,3,0.508259,0.516908,0.000154,4,0.000193,0,0.036257,444,0.697897
3375,,,201,201,3,0.511111,0.521959,0.000258,1,0.000239,0,0.040348,811,0.887015
3393,,,198,198,3,0.510996,0.521666,0.000251,4,0.000236,0,0.037789,737,0.872332
3400,,,179,179,3,0.509909,0.51958,0.000205,5,0.000216,0,0.04055,646,0.788588
3403,,,197,197,3,0.510996,0.521593,0.000243,0,0.000234,0,0.039521,763,0.877205
3411,,,187,187,3,0.510366,0.520458,0.000221,1,0.000224,0,0.042033,731,0.828388
3413,,,179,179,3,0.509624,0.519397,0.000199,3,0.000216,0,0.041617,663,0.799199
3435,,,185,185,3,0.510252,0.520239,0.000215,1,0.000222,0,0.042362,721,0.820594
3464,,,198,198,3,0.511054,0.521703,0.000254,5,0.000236,0,0.039532,771,0.866284
3549,,,188,188,3,0.510252,0.520458,0.000227,2,0.000225,0,0.040278,708,0.827658
3573,,,177,177,3,0.509852,0.519397,0.0002,2,0.000214,0,0.038392,598,0.78044
3598,,,191,191,3,0.510481,0.520824,0.00023,6,0.000228,0,0.041609,755,0.846023
3619,,,178,178,3,0.509852,0.51947,0.000198,5,0.000215,0,0.040881,644,0.791028
3630,,,203,203,2,0.511398,0.522288,0.00026,2,0.000241,0,0.039214,804,0.898845
3756,,,194,194,2,0.510882,0.5213,0.00023,3,0.000231,0,0.041023,768,0.868988
3812,,,190,190,3,0.510595,0.520824,0.000229,3,0.000227,0,0.040434,726,0.840009
3821,,,180,180,3,0.509795,0.51958,0.000204,4,0.000217,0,0.040472,652,0.796432
3849,,,194,194,3,0.510824,0.521263,0.000239,5,0.000232,0,0.040169,752,0.856045
3858,,,168,168,3,0.508997,0.518189,0.000177,5,0.000205,0,0.037995,533,0.745995
3872,,,188,188,3,0.510424,0.520568,0.000217,4,0.000225,0,0.044032,774,0.844208
3875,,,184,184,3,0.510138,0.520092,0.00021,5,0.000221,0,0.040805,687,0.821793
3922,,,184,184,3,0.510252,0.520165,0.000214,1,0.000221,0,0.040508,682,0.814732
3954,,,174,174,3,0.509624,0.519031,0.000191,0,0.000211,0,0.041858,630,0.770207
3964,,,173,173,3,0.509624,0.518958,0.000188,6,0.00021,0,0.041135,612,0.767338
3976,,,182,182,3,0.509966,0.519836,0.000209,6,0.000219,0,0.04092,674,0.806546
4000,,,178,178,3,0.509852,0.51947,0.000199,5,0.000215,0,0.038469,606,0.790862
4004,,,173,173,3,0.509339,0.518775,0.000188,4,0.00021,0,0.039521,588,0.767837
4016,,,203,203,2,0.511398,0.522288,0.000262,5,0.000241,0,0.042189,865,0.897859
4031,,,174,174,3,0.509567,0.518994,0.000193,1,0.000211,0,0.038868,585,0.768746
4062,,,184,184,3,0.510252,0.520165,0.000215,1,0.000221,0,0.037836,637,0.816397
4097,,,172,172,3,0.50951,0.518811,0.000182,4,0.000209,0,0.041344,608,0.77225
4115,,,173,173,3,0.509567,0.518921,0.000189,4,0.00021,0,0.039992,595,0.767468
4117,,,179,179,3,0.509909,0.51958,0.000204,4,0.000216,0,0.039859,635,0.789798
4142,,,182,182,3,0.510081,0.519909,0.000208,3,0.000219,0,0.042256,696,0.806213
4184,,,184,184,3,0.509852,0.519909,0.000214,1,0.000221,0,0.040152,676,0.816309
4246,,,208,208,2,0.511685,0.522837,0.000276,4,0.000246,0,0.038554,830,0.918128
4253,,,174,174,3,0.509453,0.518921,0.000188,1,0.000211,0,0.040595,611,0.776649
4285,,,203,203,3,0.511341,0.522252,0.000262,1,0.000241,0,0.041116,843,0.894608
4297,,,196,196,3,0.510824,0.52141,0.00024,4,0.000233,0,0.039142,748,0.873157
4324,,,156,156,3,0.508202,0.516798,0.000154,4,0.000193,0,0.041191,498,0.690165
4327,,,186,186,3,0.510309,0.520348,0.000217,3,0.000223,0,0.039465,679,0.827621
4341,,,183,183,3,0.510195,0.520056,0.000209,6,0.00022,0,0.040773,679,0.813179
4346,,,204,204,3,0.511341,0.522325,0.00026,5,0.000241,0,0.037719,781,0.909445
4376,,,179,179,3,0.509966,0.519616,0.000202,0,0.000216,0,0.039608,631,0.789997
4385,,,140,140,3,0.506958,0.514822,0.000123,0,0.000176,0,0.040082,390,0.620868
4388,,,192,192,3,0.51071,0.521044,0.000231,2,0.000229,0,0.042485,779,0.852985
4487,,,193,193,2,0.510824,0.52119,0.000235,4,0.00023,0,0.039994,741,0.854245
4520,,,175,175,3,0.509738,0.519177,0.000193,4,0.000212,0,0.041051,625,0.776429
4533,,,161,161,3,0.50877,0.51753,0.000164,4,0.000198,0,0.040761,525,0.710611
4534,,,194,194,3,0.510824,0.521263,0.000237,4,0.000231,0,0.042412,794,0.861755
4553,,,176,176,3,0.509795,0.519287,0.000195,3,0.000213,0,0.041558,640,0.780011
1,,,165,165,3,0.508997,0.51797,0.00017,4,0.000202,0,0.03895,527,0.736244
26,,,152,152,3,0.507636,0.51614,0.000145,1,0.000188,0,0.039212,450,0.674155
30,,,176,176,3,0.509624,0.519177,0.000195,6,0.000213,0,0.039416,607,0.77655
48,,,184,184,3,0.510081,0.520056,0.000213,6,0.000221,0,0.040449,681,0.814267
64,,,164,164,3,0.508827,0.517787,0.000168,4,0.000201,0,0.038456,514,0.730174
109,,,189,189,3,0.510481,0.520678,0.000228,5,0.000226,0,0.040639,722,0.832236
117,,,191,191,3,0.510538,0.520861,0.000229,6,0.000228,0,0.04205,763,0.849136
123,,,164,164,3,0.509054,0.517933,0.000169,3,0.000201,0,0.041673,557,0.727366
133,,,170,170,3,0.509396,0.518592,0.000183,1,0.000207,0,0.040097,576,0.752603
149,,,178,178,3,0.509453,0.519214,0.000199,3,0.000215,0,0.04196,661,0.788233
172,,,153,153,3,0.507862,0.516359,0.00015,2,0.00019,0,0.04128,480,0.67009
202,,,188,188,3,0.510366,0.520531,0.000221,4,0.000225,0,0.042724,751,0.835039
230,,,162,162,3,0.508827,0.51764,0.00016,4,0.000198,0,0.040871,533,0.727088
239,,,183,183,2,0.510252,0.520092,0.000209,6,0.00022,0,0.039693,661,0.81748
259,,,190,190,3,0.510366,0.520678,0.000224,2,0.000227,0,0.040602,729,0.850783
267,,,180,180,3,0.509909,0.519653,0.000203,0,0.000217,0,0.040161,647,0.800163
312,,,174,174,3,0.509453,0.518921,0.000192,6,0.000211,0,0.040662,612,0.76954
313,,,199,199,2,0.511168,0.521849,0.000252,1,0.000237,0,0.039592,780,0.879673
364,,,201,201,3,0.511168,0.521995,0.000253,4,0.000238,0,0.038955,783,0.894432
371,,,162,162,3,0.50877,0.517604,0.000165,4,0.000199,0,0.039874,520,0.716464
407,,,184,184,3,0.510252,0.520165,0.000212,6,0.000221,0,0.040033,674,0.819355
438,,,189,189,3,0.510366,0.520605,0.000224,4,0.000226,0,0.042328,752,0.838973
441,,,172,172,3,0.509396,0.518738,0.000189,4,0.000209,0,0.04114,605,0.757212
461,,,173,173,3,0.509567,0.518921,0.000189,0,0.00021,0,0.037371,556,0.765885
560,,,193,193,3,0.51071,0.521117,0.00024,5,0.000231,0,0.038536,714,0.848745
614,,,191,191,3,0.510595,0.520897,0.00023,3,0.000228,0,0.040783,740,0.846816
618,,,185,185,3,0.510309,0.520275,0.000216,1,0.000222,0,0.037544,639,0.81985
620,,,185,185,3,0.510309,0.520275,0.000219,2,0.000223,0,0.0396,674,0.811118
645,,,191,191,3,0.510481,0.520824,0.000232,3,0.000228,0,0.041168,747,0.84334
699,,,182,182,3,0.509966,0.519836,0.000212,5,0.000219,0,0.038795,639,0.79937
722,,,204,204,2,0.511456,0.522398,0.000261,2,0.000242,0,0.042017,870,0.907209
728,,,165,165,3,0.508827,0.51786,0.000171,3,0.000202,0,0.040503,548,0.733558
744,,,171,171,3,0.509396,0.518665,0.000179,3,0.000208,0,0.043344,630,0.769729
845,,,179,179,3,0.509909,0.51958,0.000202,0,0.000216,0,0.042119,671,0.793337
858,,,200,200,3,0.511168,0.521922,0.000255,3,0.000238,0,0.039698,790,0.882078
877,,,195,195,3,0.51071,0.521263,0.000245,5,0.000233,0,0.037589,711,0.856625
881,,,178,178,3,0.509738,0.519397,0.0002,1,0.000215,0,0.036882,581,0.789101
884,,,174,174,3,0.509567,0.518994,0.000189,3,0.000211,0,0.041725,628,0.773202
899,,,178,178,3,0.509795,0.519433,0.000198,6,0.000215,0,0.040246,634,0.791177
903,,,196,196,2,0.510996,0.52152,0.000244,1,0.000233,0,0.040607,776,0.869225
909,,,200,200,3,0.511168,0.521922,0.000255,1,0.000238,0,0.038543,767,0.884747
923,,,203,203,3,0.511341,0.522252,0.000259,4,0.000241,0,0.039458,809,0.902856
991,,,152,152,3,0.507975,0.516359,0.000146,3,0.000188,0,0.040519,465,0.673723
1009,,,173,173,3,0.509453,0.518848,0.000188,6,0.00021,0,0.041269,614,0.766715
1019,,,178,178,3,0.509909,0.519507,0.000202,4,0.000215,0,0.038088,600,0.783557
1030,,,170,170,3,0.509111,0.518409,0.000186,4,0.000207,0,0.039192,563,0.750507
1081,,,201,201,3,0.511054,0.521922,0.00025,6,0.000238,0,0.041443,833,0.896861
1094,,,198,198,3,0.511054,0.521703,0.00025,6,0.000236,0,0.039276,766,0.872756
1098,,,191,191,3,0.510653,0.520934,0.00023,6,0.000228,0,0.037751,685,0.851027
1136,,,187,187,3,0.510424,0.520495,0.000225,4,0.000225,0,0.043183,751,0.821416
1139,,,194,194,3,0.510824,0.521263,0.000239,6,0.000231,0,0.041611,779,0.857559
1142,,,195,195,3,0.510882,0.521373,0.000239,0,0.000232,0,0.040021,757,0.865118
1144,,,189,189,3,0.510366,0.520605,0.000225,2,0.000226,0,0.041653,740,0.838448
1162,,,179,179,3,0.509852,0.519543,0.000205,1,0.000216,0,0.040048,638,0.788956
1194,,,195,195,3,0.510824,0.521337,0.000239,6,0.000232,0,0.039492,747,0.866959
1204,,,176,176,3,0.509795,0.519287,0.000197,5,0.000213,0,0.037922,584,0.77774
1209,,,195,195,3,0.51071,0.521263,0.000241,3,0.000233,0,0.040021,757,0.862753
1221,,,215,215,3,0.512031,0.523569,0.000289,2,0.000253,0,0.040209,925,0.95876
1227,,,202,202,2,0.511341,0.522178,0.000254,0,0.000239,0,0.039308,798,0.899413
1244,,,180,180,2,0.510081,0.519763,0.00021,4,0.000217,0,0.043203,696,0.786997
1256,,,156,156,3,0.508259,0.516835,0.000154,0,0.000193,0,0.041274,499,0.688702
1341,,,190,190,3,0.510538,0.520788,0.000233,2,0.000228,0,0.037705,677,0.834207
1356,,,207,207,3,0.511513,0.522654,0.000273,6,0.000245,0,0.038882,829,0.916304
1378,,,184,184,3,0.510024,0.520019,0.000215,4,0.000221,0,0.038786,653,0.811119
1396,,,191,191,2,0.51071,0.520971,0.000232,3,0.000228,0,0.042546,772,0.842347
1461,,,196,196,3,0.510939,0.521483,0.000241,0,0.000233,0,0.040764,779,0.870901
1480,,,177,177,3,0.509795,0.51936,0.000202,4,0.000214,0,0.040126,625,0.775008
1541,,,166,166,3,0.508884,0.51797,0.000173,3,0.000203,0,0.039723,544,0.736212
1547,,,198,198,2,0.511111,0.521739,0.000241,6,0.000235,0,0.038815,757,0.887481
1550,,,161,161,3,0.50877,0.51753,0.000162,3,0.000198,0,0.037034,477,0.715426
1568,,,172,172,3,0.509339,0.518702,0.000185,1,0.000209,0,0.042976,632,0.763803
1595,,,197,197,3,0.510882,0.52152,0.000247,2,0.000235,0,0.040091,774,0.867128
1605,,,180,180,2,0.510081,0.519763,0.000201,0,0.000217,0,0.041837,674,0.803559
1619,,,178,178,3,0.509795,0.519433,0.000201,5,0.000215,0,0.039675,625,0.788662
1633,,,187,187,3,0.510424,0.520495,0.00022,2,0.000224,0,0.041516,722,0.831654
1656,,,196,196,3,0.510939,0.521483,0.000243,1,0.000234,0,0.041183,787,0.864688
1672,,,171,171,3,0.509282,0.518592,0.000188,5,0.000208,0,0.036808,535,0.752681
1676,,,170,170,3,0.509396,0.518592,0.00018,4,0.000207,0,0.038636,555,0.756259
1700,,,166,166,3,0.508827,0.517933,0.000171,0,0.000203,0,0.040234,551,0.737758
1714,,,187,187,3,0.510252,0.520385,0.000221,4,0.000224,0,0.039561,688,0.828944
1718,,,184,184,3,0.510252,0.520165,0.000214,5,0.000221,0,0.039855,671,0.816327
1732,,,169,169,3,0.509225,0.518409,0.000179,6,0.000206,0,0.040363,573,0.749958
1793,,,200,200,3,0.511168,0.521922,0.000246,3,0.000237,0,0.042864,853,0.895814
1858,,,203,203,3,0.511341,0.522252,0.000262,2,0.000241,0,0.042335,868,0.897798
1874,,,189,189,3,0.510481,0.520678,0.000226,1,0.000226,0,0.038275,680,0.839213
1916,,,201,201,3,0.511226,0.522032,0.000256,4,0.000239,0,0.040647,817,0.887392
1935,,,195,195,3,0.510824,0.521337,0.00024,5,0.000232,0,0.037219,704,0.865231
1961,,,192,192,3,0.510595,0.520971,0.000229,1,0.000229,0,0.041339,758,0.855835
2008,,,217,217,2,0.512203,0.523825,0.000299,6,0.000255,0,0.041261,967,0.960905
2012,,,191,191,3,0.510595,0.520897,0.00023,6,0.000228,0,0.041995,762,0.84745
2043,,,196,196,3,0.510939,0.521483,0.00024,5,0.000233,0,0.040816,780,0.871935
2091,,,210,210,3,0.511743,0.52302,0.000274,1,0.000248,0,0.04206,923,0.936588
2164,,,174,174,3,0.50951,0.518958,0.000188,3,0.000211,0,0.039333,592,0.776765
2171,,,179,179,3,0.509852,0.519543,0.000204,6,0.000216,0,0.04011,639,0.788522
2176,,,178,178,3,0.509852,0.51947,0.0002,6,0.000215,0,0.040691,641,0.789177
2218,,,199,199,3,0.511111,0.521812,0.000251,2,0.000237,0,0.039693,782,0.880116
2296,,,169,169,3,0.509396,0.518519,0.000178,3,0.000206,0,0.040223,571,0.752315
2299,,,185,185,3,0.510138,0.520165,0.000215,4,0.000222,0,0.041128,700,0.81903
2304,,,162,162,3,0.5086,0.517494,0.000169,3,0.000199,0,0.038417,501,0.71547
2311,,,189,189,3,0.510481,0.520678,0.000227,3,0.000226,0,0.03957,703,0.834655
2335,,,204,204,2,0.511456,0.522398,0.00026,1,0.000241,0,0.037912,785,0.910815
2346,,,185,185,3,0.510081,0.520129,0.000216,0,0.000222,0,0.040952,697,0.819365
2395,,,195,195,3,0.510882,0.521373,0.000239,6,0.000232,0,0.03981,753,0.864664
2431,,,187,187,3,0.510424,0.520495,0.000217,2,0.000224,0,0.042666,742,0.833905
2535,,,180,180,3,0.509909,0.519653,0.000203,4,0.000217,0,0.039168,631,0.799542
2558,,,200,200,3,0.511168,0.521922,0.000252,4,0.000238,0,0.042563,847,0.887072
2562,,,205,205,3,0.511456,0.522471,0.000261,0,0.000242,0,0.04175,873,0.915161
2566,,,183,183,3,0.510024,0.519946,0.000214,4,0.00022,0,0.035789,596,0.808964
2627,,,196,196,3,0.510939,0.521483,0.000243,3,0.000233,0,0.040031,765,0.870149
2709,,,172,172,3,0.50951,0.518811,0.000185,0,0.000209,0,0.042908,631,0.76352
2711,,,170,170,3,0.509339,0.518555,0.000184,5,0.000207,0,0.038009,546,0.749335
